Date,Daily_Closing,Weekly_average,Monthly_average,Weekly_var,Monthly_var
2020-02-07,173.6,175.51,186.28,81.11,81.11
2020-02-10,168.9,173.04,185.79,91.04,91.04
2020-02-11,169.75,172.06,185.28,99.63,99.63
2020-02-12,170.95,173.07,184.83,106.47,106.47
2020-02-13,169.5,173.61,184.02,111.15,111.15
2020-02-14,169.1,171.52,183.29,116.54,116.54
2020-02-17,169.1,170.13,182.73,122.97,122.97
2020-02-18,161.6,168.41,181.96,137.63,137.63
2020-02-19,158.05,166.86,181.15,156.64,156.64
2020-02-20,158.5,165.26,180.03,168.98,168.98
2020-02-24,150.65,162.36,178.51,187.16,187.16
2020-02-25,149.9,159.56,176.96,202.05,202.05
2020-02-26,144.55,156.05,175.25,222.95,222.95
2020-02-27,145.25,152.64,173.42,228.77,228.77
2020-02-28,128.95,147.98,171.13,271.45,271.45
2020-03-02,125.4,143.31,168.73,314.0,314.0
2020-03-03,130.35,139.29,166.58,336.2,336.2
2020-03-04,126.2,135.8,164.4,366.28,366.28
2020-03-05,125.75,132.35,162.41,398.19,398.19
2020-03-06,114.2,128.01,159.94,448.71,448.71
2020-03-09,105.7,122.36,157.24,518.3,518.3
2020-03-11,98.9,118.07,154.47,606.21,606.21
2020-03-12,88.0,112.73,151.53,733.48,733.48
2020-03-13,89.75,106.93,148.25,807.99,807.99
2020-03-16,82.95,100.75,144.81,893.12,893.12
2020-03-17,77.95,93.92,141.52,1001.23,1001.23
2020-03-18,75.5,88.39,138.58,1125.37,1125.37
2020-03-19,72.95,83.71,135.49,1238.63,1238.63
2020-03-20,77.3,80.63,131.94,1262.02,1262.02
2020-03-23,66.2,77.51,128.18,1320.55,1320.55
2020-03-24,68.55,74.49,124.68,1359.35,1359.35
2020-03-25,70.25,72.67,121.39,1382.9,1382.9
2020-03-26,70.8,71.65,118.09,1379.27,1379.27
2020-03-27,70.7,70.96,114.75,1348.83,1348.83
2020-03-30,68.15,70.28,111.37,1308.55,1308.55
2020-03-31,71.05,69.39,108.11,1238.66,1238.66
2020-04-01,67.95,69.64,104.73,1154.21,1154.21
2020-04-03,65.3,69.17,101.52,1085.66,1085.66
2020-04-07,67.25,68.74,98.5,1006.51,1006.51
2020-04-08,67.6,68.29,95.47,905.78,905.78
2020-04-09,74.6,68.84,92.93,809.13,809.13
2020-04-13,74.25,69.71,90.41,702.68,702.68
2020-04-15,72.9,69.98,88.02,606.28,606.28
2020-04-16,74.65,70.94,85.67,493.78,493.78
2020-04-17,76.85,72.59,83.93,428.75,428.75
2020-04-20,80.45,74.47,82.43,367.54,367.54
2020-04-21,74.65,75.48,80.58,286.89,286.89
2020-04-22,75.9,75.66,78.9,212.97,212.97
2020-04-23,75.65,75.86,77.23,134.76,134.76
